"Location","Population","% ofworld","Date","Source (official or fromthe United Nations)"
"Aruba (Netherlands)",109435,1e-05,2025-06-30,"Official estimate[208]"
"Grenada",109021,1e-05,2021-01-01,"Preliminary Census results[209]"
"Micronesia",105564,1e-05,2025-01-01,"National annual projection[210]"
"Antigua and Barbuda",103603,1e-05,2024-01-01,"Official estimate[211]"
"Jersey (UK)",103267,1e-05,2021-03-21,"2021 census result[212]"
"Tonga",100179,1e-05,2021-11-30,"2021 census result[213]"
"Andorra",89165,1e-05,2026-01-31,"Monthly national estimate[214]"
"Cayman Islands (UK)",88833,1e-05,2024-12-31,"National annual projection[215]"
"U.S. Virgin Islands (US)",87146,1e-05,2020-04-01,"2020 census result[216]"
"Isle of Man (UK)",84975,1e-05,2025-04-01,"Official estimate[217]"
"Dominica",71946,9e-06,2018-01-01,"UN estimate[218]"
"Guernsey (UK)",64781,8e-06,2023-12-31,"National quarterly estimate[219]"
"Bermuda (UK)",64055,8e-06,2021-07-01,"National annual projection[220]"
"Greenland (Denmark)",56740,7e-06,2026-01-01,"National quarterly estimate[221]"
"South Ossetia",56520,7e-06,2021-12-31,"Official estimate[222]"
"Faroe Islands (Denmark)",55064,7e-06,2026-02-01,"Monthly national estimate[223]"
"Saint Kitts and Nevis",51320,6e-06,2022-01-01,"2022 census result[224]"
"Turks and Caicos Islands (UK)",50828,6e-06,2024-07-01,"Official estimate[225]"
"American Samoa (US)",49710,6e-06,2020-04-01,"2020 census result[226]"
"Northern Mariana Islands (US)",47329,6e-06,2020-04-01,"2020 census result[227]"
"Marshall Islands",42418,5e-06,2021-09-30,"2021 Census[228]"
"Sint Maarten (Netherlands)",41349,5e-06,2025-01-01,"Official estimate[229]"
"Liechtenstein",41024,5e-06,2024-06-30,"National estimate[230]"
"British Virgin Islands (UK)",39471,5e-06,2024-07-01,"UN projection[3]"
"Monaco",38423,5e-06,2024-12-31,"Census[231]"
"Gibraltar (UK)",38196,5e-06,2022-11-14,"Preliminary census results[232]"
"San Marino",34172,4e-06,2025-12-31,"Monthly national estimate[233]"
"Saint Martin (France)",31496,4e-06,2025-01-01,"Official estimate[234]"
"Palau",16733,2e-06,2021-07-01,"2021 Census[235]"
"Anguilla (UK)",16010,2e-06,2024-12-31,"Official estimate[236]"
"Cook Islands (New Zealand)",15040,2e-06,2021-07-01,"2021 Census[237]"
"Nauru",11680,1e-06,2021-10-30,"2021 Census[238]"
"Wallis and Futuna (France)",11620,1e-06,2023-07-24,"2023 Census[239]"
"Tuvalu",10643,1e-06,2022-12-12,"2022 Census[240]"
"Saint Barthélemy (France)",10562,1e-06,2025-01-01,"Official estimate[234]"
"Saint Pierre and Miquelon (France)",5819,0,2025-01-01,"Official estimate[234]"
"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,0,2021-07-01,"2021 Census[241][242][243]"
"Montserrat (UK)",4386,0,2023-09-23,"2023 census result[244]"
"Falkland Islands (UK)",3662,0,2021-10-10,"2021 census result[245]"
"Tokelau (New Zealand)",2608,0,2025-01-01,"2025 Census[246]"
"Norfolk Island (Australia)",2188,0,2021-01-01,"2021 Census[247]"
"Christmas Island (Australia)",1692,0,2021-01-01,"2021 Census[248]"
"Niue (New Zealand)",1681,0,2022-11-11,"2022 Census[249]"
"Vatican City",882,0,2024-12-31,"Official figure[250]"
"Cocos (Keeling) Islands (Australia)",593,0,2020-06-30,"2021 Census[251]"
"Pitcairn Islands (UK)",35,0,2023-07-01,"Official estimate[252]"
